,Gene-name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000143816.7,WNT9A,141.439846783339,3.46628237123969,0.636264540421658,4.52843461829609,5.94222616480156e-06,0.00925105576756856
ENSG00000128438.9,TBC1D27P,1153.66035809366,3.84622780354031,0.809795728424104,4.02722277862195,5.64395513974517e-05,0.0395941652143892
ENSG00000137757.9,CASP5,93.2033623327471,4.17841767934615,0.850633497361113,4.2244018022966,2.39576284144586e-05,0.0258217161945529
ENSG00000267325.1,LINC01415,27.9659157993958,4.37673098695837,0.889455408162006,4.26298041719,2.01718202476791e-05,0.0226109967520285
ENSG00000230628.1,RP4-781K5.6/lnc-IRF2BP2-1,25.65153205521,4.53393883463392,0.947052472622766,4.16971493004789,3.04980878553006e-05,0.0285591718121177
ENSG00000259078.2,PTBP1P,33.5837216455482,4.64229944833786,0.731249049187694,5.54845090444207,2.88211790555075e-08,0.000201913975168122
ENSG00000137875.4,BCL2L10,84.3173984858929,4.70117041460076,0.979584084561243,4.2019572178374,2.64617150697028e-05,0.0274197257676973
ENSG00000139364.9,TMEM132B,395.004497941286,4.81265360451662,1.05308279199971,4.01455007776613,5.95592978226969e-05,0.0395941652143892
ENSG00000102794.8,IRG1/ACOD1,71.9248470852265,5.09890246994239,1.14596973723745,3.93893688748178,8.18434537840454e-05,0.0498586762041371
ENSG00000141052.16,MYOCD,440.415993118211,6.673587095191,0.906100480329529,6.71954957244556,1.82287162578071e-11,1.70274438564176e-07
ENSG00000229558.2,SACS-AS1,71.0985258557597,23.8491365236915,3.03215064597172,7.6724870364203,1.68693013315372e-14,2.36364215606834e-10
