MSMB,FBP2,LINC00992,NLRP4,PRSS8,CPA6,CAMP,SDR16C5,CCDC85A,KCNQ1OT1,VWCE,ABCA9,CFAP91,SPTBN2,KCNJ2,WNT9A,CASP5,TMEM132B,ACOD1,MYOCD,CLASS
1.210598199,1.544897548,1.384361977,1.2779204,1.385110823,1.40606524,2.443529648,1.625271886,2.050159721,2.165605264,2.185352529,2.913523632,2.278884911,2.230085765,8.500777273,2.276448606,4.391752017,2.009124985,2.592978937,1.568319979,1
1.220696864,1.499805196,1.133398794,1.013496401,1.222750227,1.169124415,2.545022455,8.589678347,2.21191972,2.239347408,3.565754179,1.854146416,2.418441236,2.259344136,3.693823616,2.163098326,2.219163252,1.954457634,1.333896611,1.644469138,1
0.949219082,1.75818426,1.32323312,2.150140922,1.384460123,1.556485462,2.692310566,2.560404329,1.950137915,2.075841991,2.738591431,1.840421897,2.161741218,2.242490459,5.964580172,2.259026454,2.868769144,2.830301214,1.511605101,1.638983394,1
1.175355553,2.82056922,4.230800372,2.212473936,1.156165785,1.106386214,2.925172428,1.595635781,1.981691926,2.334872597,2.921098405,2.151804926,5.511809133,2.073440083,6.955082917,2.77858275,6.132250799,1.729100262,4.656056171,1.615995979,1
1.057763632,1.53108425,1.235332966,1.273267114,1.81341116,1.18322599,2.352246258,4.192404152,2.377146961,2.295915945,3.333987403,2.954098306,2.197299743,2.200600438,3.693243146,3.217622848,1.986916284,1.652644437,1.561273979,6.372562855,1
1.499019069,1.457949406,1.285782461,8.479187338,1.293363314,1.210424141,7.747955654,1.584697534,2.358407077,2.37781521,3.578314469,2.212658824,2.29687879,2.163727188,3.015128371,2.140591748,2.647296651,1.847520288,1.460699655,1.861803925,1
1.248973969,1.428461093,1.235392615,1.112541171,1.154188265,1.049833643,4.000817652,1.659232879,2.06624621,2.199668757,2.234667135,2.428884271,3.623970297,1.873454247,8.229643943,1.749950521,2.247007953,1.620921549,1.388344877,1.645668018,1
1.050527997,1.88119859,1.534351452,1.298740531,1.278620356,1.425269053,1.862832378,1.382712089,2.27649996,2.070343421,4.374696221,3.08394058,2.378558068,2.236699827,5.217633293,2.590534623,2.504090999,1.793835331,1.793180073,2.358058404,1
0.925724458,1.709434375,1.250492138,1.183434741,1.34122404,1.002130328,1.623521608,1.42496128,2.197698214,2.050344799,2.571318856,3.002675196,2.645554043,2.273884304,6.23609035,1.641340979,2.827868457,1.761924652,1.39818563,2.583094165,1
1.319288245,1.863300058,2.100869344,2.923745675,1.545216081,1.081836697,2.484554689,1.440051565,2.134637782,2.003342544,3.237561555,3.545060607,2.291806055,2.333226262,5.497061707,2.484213687,4.029889802,1.912514587,2.305109323,1.326053465,1
1.051445861,1.728003559,1.216417129,1.255190994,1.220225008,1.244948803,2.516426863,1.586012033,2.214818111,2.13945922,4.648078837,1.931273886,2.58870856,2.029030012,4.151916969,3.719155274,3.762637447,1.889074882,1.901092137,1.639897736,1
1.05515549,1.613906099,1.227407547,1.327395777,1.258468064,1.02140036,2.400414353,2.471995986,1.958980054,1.94419026,2.454054268,2.112276279,2.123396896,1.934149297,3.745536245,1.719638404,2.403760625,2.155751351,1.290998375,1.763707082,1
1.002726876,1.580986581,1.130158829,1.199486757,1.269684738,0.976371975,2.27903692,2.025412265,2.264032314,2.334356211,2.913989215,5.192946369,2.943440097,2.186652222,5.382726251,3.385283261,2.426203211,1.733901608,1.729137241,8.765686483,1
1.261122008,1.519286727,1.179127598,1.154614866,1.31067723,1.318891648,2.237255978,1.728944337,1.943765845,1.963367819,2.983484778,2.06037143,2.385575688,2.065263054,5.793460446,2.503172539,3.984811697,1.633812906,2.13444113,1.632380153,1
1.353330893,1.568169024,1.448682592,1.205473885,1.420305914,1.123156372,2.180981767,1.854267101,1.994725327,2.255203897,3.576389298,2.702640707,2.288601428,2.021742047,4.476488921,2.867069461,2.090165218,2.034292994,1.340954894,5.321645536,1
1.28850529,2.100737171,1.341229683,2.536062004,1.28821069,1.100799688,4.043546505,1.843791633,2.116342373,2.121284942,2.759156614,2.68904598,2.326595157,1.796672461,6.094616959,2.175704966,3.312362441,1.755612377,1.260366555,2.204004239,1
1.029879473,1.849406945,1.427634937,1.359807345,1.374817485,1.358472078,3.943892865,1.581969107,2.700841796,2.295675261,2.94336855,3.073293731,2.280773364,2.526231512,3.038948381,4.411821087,2.032458226,1.850752514,1.548139765,7.697144339,1
1.166825942,1.794373368,1.354165823,1.080862381,1.205593757,1.693734695,2.614830612,1.43209129,2.045819033,2.059150386,2.874052841,2.1264102,2.370553851,2.123808438,4.285650618,2.142443507,2.118980191,1.83670957,0.909393142,1.673540874,1
1.115771742,1.709447816,1.403320593,7.635783232,1.245028755,1.336898923,2.972326865,8.148590954,2.057780644,2.239932365,2.884610595,2.009777193,2.134094143,1.701627233,3.124605381,2.028979375,2.033953703,2.869855279,1.405575267,1.617543303,1
1.222339058,1.533104643,1.228371353,5.005810625,1.335825481,1.359732339,7.164106019,1.658333548,2.234915517,2.158844906,4.211831193,2.016103997,2.195614083,2.408331482,7.161765877,1.987255604,2.385664716,2.177585264,1.219199837,1.582438898,1
0.985318072,1.499272856,1.204245753,3.068077802,1.500954419,1.14181676,5.774122249,1.559795873,2.085026715,2.2376892,2.765043335,2.408604356,2.489116575,1.814032076,7.684781055,2.425203962,3.30393969,1.701370142,1.892768754,1.449643956,1
1.344415947,1.573053928,1.549459131,1.287381531,1.412780817,1.389057703,2.979267099,1.584945973,2.258275997,2.196089965,3.630932316,1.596067044,2.234095473,2.155068959,2.124869613,2.431163501,2.488790019,2.077497692,1.54957588,1.740058309,1
